BillingAccountId,BillingAccountName,BillingPeriodStart,BillingPeriodEnd,ChargeCategory,ChargePeriodStart,ChargePeriodEnd,ConsumedQuantity,EffectiveCost,ProviderName,RegionName,ResourceId,ServiceName,SkuId,SubAccountId,SubAccountName,Tags
ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,2026-07-01,2026-08-01,Usage,2026-07-29,2026-07-30,0.451572,1.08,Snowflake,AWS_US_EAST_1,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,SERVERLESS_TASK,SERVERLESS_TASK,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,"{""environment"":""Demo"",""team"":""TruAudience""}"
ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,2026-07-01,2026-08-01,Usage,2026-07-29,2026-07-30,0.130913,0.31,Snowflake,AWS_US_EAST_1,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,WAREHOUSE_METERING,WAREHOUSE_METERING,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,"{""environment"":""Demo"",""team"":""TruAudience""}"
ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,2026-07-01,2026-08-01,Usage,2026-07-28,2026-07-29,0.408453,0.98,Snowflake,AWS_US_EAST_1,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,SERVERLESS_TASK,SERVERLESS_TASK,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,"{""environment"":""Demo"",""team"":""TruAudience""}"
ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,2026-07-01,2026-08-01,Usage,2026-07-28,2026-07-29,0.115142,0.28,Snowflake,AWS_US_EAST_1,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,WAREHOUSE_METERING,WAREHOUSE_METERING,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,"{""environment"":""Demo"",""team"":""TruAudience""}"
ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,2026-07-01,2026-08-01,Usage,2026-07-27,2026-07-28,0.406512,0.97,Snowflake,AWS_US_EAST_1,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,SERVERLESS_TASK,SERVERLESS_TASK,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,"{""environment"":""Demo"",""team"":""TruAudience""}"
ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,2026-07-01,2026-08-01,Usage,2026-07-27,2026-07-28,0.117068,0.28,Snowflake,AWS_US_EAST_1,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,WAREHOUSE_METERING,WAREHOUSE_METERING,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,"{""environment"":""Demo"",""team"":""TruAudience""}"
ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,2026-07-01,2026-08-01,Usage,2026-07-26,2026-07-27,0.449421,1.07,Snowflake,AWS_US_EAST_1,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,SERVERLESS_TASK,SERVERLESS_TASK,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,"{""environment"":""Demo"",""team"":""TruAudience""}"
ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,2026-07-01,2026-08-01,Usage,2026-07-26,2026-07-27,0.137752,0.33,Snowflake,AWS_US_EAST_1,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,WAREHOUSE_METERING,WAREHOUSE_METERING,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,"{""environment"":""Demo"",""team"":""TruAudience""}"
ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,2026-07-01,2026-08-01,Usage,2026-07-25,2026-07-26,0.425753,1.02,Snowflake,AWS_US_EAST_1,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,SERVERLESS_TASK,SERVERLESS_TASK,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,"{""environment"":""Demo"",""team"":""TruAudience""}"
ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,2026-07-01,2026-08-01,Usage,2026-07-25,2026-07-26,0.131367,0.31,Snowflake,AWS_US_EAST_1,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,WAREHOUSE_METERING,WAREHOUSE_METERING,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,ONETRU_TRUAUDIENCE_AZURE_EAST_US2,"{""environment"":""Demo"",""team"":""TruAudience""}"
